timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,custom_faults,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,average_time_to_full,over_discharge_count,connected,source,priority,model,fw_version[0],fw_version[1],serial_number[0],serial_number[1],serial_number[2],serial_number[3],serial_number[4],serial_number[5],serial_number[6],serial_number[7],serial_number[8],serial_number[9],serial_number[10],serial_number[11],serial_number[12],serial_number[13],serial_number[14],serial_number[15],id,is_powering_off,is_required,warning,mode
2873993501,45.0138,45.114563,8.618431,4.818471,19.182465,6312.962,0.33020043,1.0883251,621.05444,nan,12,3.759547,3.759547,3.759547,3.759547,3.759547,3.759547,3.759547,3.759547,3.759547,3.759547,3.759547,3.759547,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2874094681,44.979286,45.102264,10.361309,5.742277,19.140377,6313.253,0.3301832,1.0881943,622.159,nan,12,3.758522,3.758522,3.758522,3.758522,3.758522,3.758522,3.758522,3.758522,3.758522,3.758522,3.758522,3.758522,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2874195921,44.934826,45.08704,12.660599,6.895331,19.1054,6313.609,0.33015966,1.0880277,622.95184,nan,12,3.7572534,3.7572534,3.7572534,3.7572534,3.7572534,3.7572534,3.7572534,3.7572534,3.7572534,3.7572534,3.7572534,3.7572534,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2874398498,44.834206,45.04854,17.699795,9.7351885,19.060987,6314.511,0.33009416,1.0876424,623.61786,nan,12,3.7540448,3.7540448,3.7540448,3.7540448,3.7540448,3.7540448,3.7540448,3.7540448,3.7540448,3.7540448,3.7540448,3.7540448,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2874601097,44.689514,44.993526,24.981499,13.767869,19.061216,6315.7896,0.32999203,1.0871037,622.4698,nan,12,3.7494605,3.7494605,3.7494605,3.7494605,3.7494605,3.7494605,3.7494605,3.7494605,3.7494605,3.7494605,3.7494605,3.7494605,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2874803520,44.523766,44.920166,33.12956,18.999584,19.121126,6317.5146,0.3298465,1.0864534,619.20605,nan,12,3.7433472,3.7433472,3.7433472,3.7433472,3.7433472,3.7433472,3.7433472,3.7433472,3.7433472,3.7433472,3.7433472,3.7433472,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2874904714,44.503487,44.882286,33.800278,21.466368,19.176935,6318.465,0.3297654,1.086226,617.17883,nan,12,3.7401905,3.7401905,3.7401905,3.7401905,3.7401905,3.7401905,3.7401905,3.7401905,3.7401905,3.7401905,3.7401905,3.7401905,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2875107184,44.512455,44.813957,32.35693,25.236021,19.30015,6320.3735,0.32960266,1.0861288,613.1455,nan,12,3.7344964,3.7344964,3.7344964,3.7344964,3.7344964,3.7344964,3.7344964,3.7344964,3.7344964,3.7344964,3.7344964,3.7344964,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2875309524,44.63667,44.774693,25.00927,25.98685,19.398232,6321.9453,0.32947287,1.0867251,610.74493,nan,12,3.7312243,3.7312243,3.7312243,3.7312243,3.7312243,3.7312243,3.7312243,3.7312243,3.7312243,3.7312243,3.7312243,3.7312243,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2875511857,44.56725,44.743378,28.436756,26.337019,19.445078,6323.463,0.32934716,1.0873157,608.6217,nan,12,3.7286148,3.7286148,3.7286148,3.7286148,3.7286148,3.7286148,3.7286148,3.7286148,3.7286148,3.7286148,3.7286148,3.7286148,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
