timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
2874001318,-0.022830421,0.012402019,-0.0029564411,8941,0,0.029770644,0.022539211,-10.514949,8774,0
2874005814,0.018631969,0.037633613,0.0182308,4496,0,-0.7907127,0.16555302,-10.028318,5075,0
2874016307,0.028912866,0.0190843,0.033740953,5996,0,0.5733465,-0.6542795,-9.128228,4999,0
2874020804,0.019234018,-0.018109426,0.0059773335,4497,0,-0.71436954,-0.9480399,-9.011726,5067,0
2874025301,-0.040061958,-0.012940409,-0.016858751,4497,0,0.73886436,-0.49688888,-8.893793,4932,0
2874031296,-0.0023115722,-0.030666137,-0.04802352,5995,0,-0.17487098,0.19910878,-10.152901,4981,0
2874035793,-0.02183739,0.0035509104,-0.038882457,4497,0,-0.7882898,-0.38811836,-10.9808235,5755,0
2874040292,-0.014336001,-0.002670017,-0.011219446,4499,0,-0.38079807,0.47910962,-10.586657,4920,0
2874046286,-0.0068790056,0.04643477,0.016039386,5994,0,-0.7823903,-0.44393885,-8.915859,4970,0
2874050782,-0.023911027,0.03278654,0.033556193,4496,0,-0.39354163,-0.78343683,-9.484903,5144,0
2874061275,-0.0045783645,-0.014227208,0.019170541,5996,0,0.8320671,-1.0549502,-9.638345,4988,0
2874065772,0.019768609,-0.027573485,-0.013790392,4497,0,0.13318396,-1.0657184,-9.644618,5032,0
2874076264,0.023004182,-0.036786843,-0.04036772,5996,0,-0.056028686,0.8391347,-9.628776,5001,0
2874080765,-0.026873693,0.007989764,-0.023843527,4501,0,-0.94577885,-0.37225392,-10.465147,5032,0
2874085257,0.013228368,0.019310744,0.010781604,4492,0,-1.1654767,0.55807304,-9.750233,4966,0
2874091254,-0.03767634,0.048143636,0.024089593,5997,0,-0.625722,-1.3239547,-9.536181,5001,0
2874095750,-0.01854971,0.014206755,0.01515834,4496,0,-0.47135136,-0.31988582,-9.311679,5016,0
2874106242,-0.009778332,-0.007879426,0.0047168373,5995,0,0.9214863,-0.6589316,-10.275264,5000,0
2874110739,0.02805177,-0.031129394,-0.010593906,4497,0,0.8770031,-0.2701241,-9.807001,5006,0
2874121231,0.05503419,-0.025678195,-0.0032171977,5995,0,-1.9052554,0.56396073,-8.823661,5000,0
2874125728,-0.02977458,0.007486458,0.0047301026,4497,0,-1.0484365,0.017364237,-9.876664,4996,0
2874130225,-0.050186668,0.018095069,0.0051624076,4497,0,-1.8460035,0.91848856,-10.239768,5004,0
2874136221,-0.06311449,0.04573357,0.0012696694,5996,0,1.2414168,-1.0771117,-9.576157,5001,0
2874140718,-0.032692738,0.03383112,-0.007345678,4497,0,0.19875012,-1.1223139,-9.981295,4392,0
2874145214,-0.0036330437,0.02493467,0.002180977,4496,0,2.5634909,-0.8593934,-9.968825,4989,0
2874151210,0.03500562,-0.019797489,0.010228779,5996,0,-0.5468665,-1.9417876,-10.117651,4993,0
2874155711,0.054113735,-0.07048846,0.017341938,4501,0,0.07180481,0.2863247,-8.86559,5097,0
2874166199,-0.022357112,-0.03719447,-0.0022198262,5996,0,-1.625211,1.2094682,-10.095079,4912,0
2874170696,-0.053026337,0.017103955,-0.023909185,4497,0,-0.17102472,0.745882,-9.573339,5016,0
2874181188,-0.035078272,0.037592635,-0.008300749,5995,0,1.6183058,-0.112910606,-10.641818,5000,0
2874185685,0.033082522,0.039059553,0.011422049,4497,0,0.5091467,-2.6139863,-10.212917,4993,0
