timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
2873898477,2873896393,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.9989,nan,nan,4.536312,nan,nan,4.888364,nan,nan,3.857882,nan,nan
2874147422,2874146713,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.9989,nan,nan,4.536312,nan,nan,3.767912,nan,nan,3.857882,nan,nan
2874217740,2874215663,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.9989,nan,nan,4.536312,nan,nan,3.767912,nan,nan,3.6363578,nan,nan
2874601442,2874599434,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.9989,nan,nan,4.536312,nan,nan,3.767912,nan,nan,2.8978822,nan,nan
2874727534,2874726842,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.98111,nan,nan,4.536312,nan,nan,3.767912,nan,nan,6.2483864,nan,nan
2874856437,2874855703,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,41.57683,nan,nan,4.536312,nan,nan,3.767912,nan,nan,9.52546,nan,nan
2874920717,2874918657,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,41.57683,nan,nan,4.536312,nan,nan,3.767912,nan,nan,1.5067315,nan,nan
2874983670,2874983111,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.11332,nan,nan,4.536312,nan,nan,3.767912,nan,nan,3.5865786,nan,nan
2875048552,2875047565,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.11332,nan,nan,4.536312,nan,nan,3.767912,nan,nan,4.7238774,nan,nan
2875111118,2875110519,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.16798,nan,nan,4.536312,nan,nan,3.767912,nan,nan,8.578972,nan,nan
2875241745,2875239426,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.16798,nan,nan,4.536312,nan,nan,3.767912,nan,nan,1.9600337,nan,nan
2875302855,2875302381,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.410416,nan,nan,4.536312,nan,nan,3.767912,nan,nan,9.9155445,nan,nan
2875367482,2875366834,6684698,2001.4034,3.908991,78.19762,nan,nan,148.54166,nan,nan,42.64979,nan,nan,4.536312,nan,nan,3.767912,nan,nan,8.241292,nan,nan
