timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
2873623979,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2874129225,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2874635017,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2875141137,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2875641932,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2876142339,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2876643451,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2877146919,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2877651157,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2878159152,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2878665267,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2879167304,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2879668635,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2880171233,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2880678951,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2881191062,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2881699578,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2882204294,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2882706035,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2883209907,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2883712447,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2884216298,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2884718965,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2885222088,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2885722244,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2886228677,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2886731183,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2887234905,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2887739976,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2888244047,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2888751515,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2889259764,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2889766070,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2890274063,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2890783805,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2891288430,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2891795773,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2892305294,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2892807385,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2893311062,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2893819723,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2894328967,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2894834196,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2895335056,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2895841251,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2896347047,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2896853192,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2897363104,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2897869004,1,0,1,1,0,0,1,1,0,1,1,1,1,0
2898102405,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2898607007,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2899112423,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2899618069,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2900120703,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2900626084,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2901128111,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2901634910,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2902144956,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2902647586,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2903152041,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2903653922,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2904156098,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2904663959,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2905170209,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2905671974,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2906173215,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2906676786,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2907178068,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2907686295,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2908189364,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2908698666,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2909202281,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2909713329,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2910224000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2910670386,0,0,1,0,1,0,1,1,0,1,1,1,1,0
2910685046,0,0,1,0,1,0,1,1,0,1,1,1,1,0
