timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
2874002062,2874001318,11504099,39.4804769,-76.6597273,0.112172954,0.32212913,-0.17497088,-0.00021774907,0.0054791397,0.0,-0.021766827,-0.018166993,-0.017500421,-0.008430172,0.010089407,-0.0020911242,-0.020107456,0.025486015,0.45524302,-0.70070535,0.27205163,-0.062233876,95.45938,0.36789834,0.09588802,0.16549031,0.057289988,0.07742924,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874015457,2874010311,11504099,39.4804769,-76.6597273,0.11158912,0.32243216,-0.17508997,-0.00021774907,0.0054791397,0.0,-0.025122914,-0.02300857,-0.019605134,-0.0105768265,0.010089407,-0.0020911242,-0.020107456,0.2302641,-1.5173436,-0.20779395,0.272299,-0.062233876,95.45938,0.36801744,0.0960874,0.16602114,0.057838663,0.077640444,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874092652,2874091254,11504099,39.4804769,-76.6597273,0.10555872,0.32682765,-0.17576319,-0.00021774907,0.0054791397,0.0,-0.038214166,-0.02025509,-0.0140822455,-0.005436434,0.010089407,-0.0020911242,-0.020107456,-0.23725286,-1.0395606,0.21976519,0.27198395,-0.062233876,95.45938,0.36660224,0.09632936,0.1649664,0.058930278,0.07721751,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874201515,2874200674,11504099,39.4804769,-76.6597273,0.09563433,0.33654153,-0.17665412,-0.00021774907,0.0054791397,0.0,-0.045043703,-0.013579781,-0.016515398,-0.008294671,0.010089407,-0.0020911242,-0.020107456,-2.4022026,0.3012203,0.09187675,0.2720303,-0.062233876,95.45938,0.3592006,0.09684499,0.1654986,0.059757628,0.077427626,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874301838,2874301102,11504099,39.4804769,-76.6597273,0.08697153,0.34712914,-0.17742501,-0.00021774907,0.0054791397,0.0,-0.045115735,-0.0038646627,-0.017907212,-0.009750157,0.010089407,-0.0020911242,-0.020107456,-0.03574834,-2.1252189,-0.6687922,0.2718588,-0.062233876,95.45938,0.37201062,0.09759338,0.16550222,0.06184397,0.07742656,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874401275,2874400031,11504099,39.4804769,-76.6597273,0.08053136,0.35501438,-0.17881973,-0.00021774907,0.0054791397,0.0,-0.041730877,-0.00047633576,-0.026727468,-0.018560484,0.010089407,-0.0020911242,-0.020107456,1.463341,2.866392,-0.28342763,0.2703245,-0.062233876,95.45938,0.36907336,0.097891964,0.16547698,0.06171387,0.07740559,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874504674,2874498960,11504099,39.4804769,-76.6597273,0.07731622,0.36043218,-0.18042478,-0.00021774907,0.0054791397,0.0,-0.038926654,-0.014974477,-0.02870337,-0.020574503,0.010089407,-0.0020911242,-0.020107456,-0.58363545,0.4802849,-0.19954315,0.268505,-0.062233876,95.45938,0.36970633,0.09868114,0.16545248,0.063581094,0.077384606,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874600181,2874599434,11504099,39.4804769,-76.6597273,0.07707872,0.36285734,-0.1824306,-0.00021774907,0.0054791397,0.0,-0.014094452,-0.0040625837,-0.03319863,-0.024760025,0.010089407,-0.0020911242,-0.020107456,-0.13688265,0.65525305,0.3513296,0.26505455,-0.062233876,95.45938,0.36840022,0.09894974,0.16548564,0.063039474,0.07740761,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874698950,2874698316,11504099,39.4804769,-76.6597273,0.080598556,0.3631157,-0.18644242,-0.00021774907,0.0054791397,0.0,0.008296486,-0.012318574,-0.0948075,-0.086003155,0.010089407,-0.0020911242,-0.020107456,0.54463327,-1.5898637,-2.970825,0.2616806,-0.062233876,95.45938,0.36815608,0.09976856,0.16548909,0.06472143,0.07740839,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874799534,2874798744,11504099,39.4804769,-76.6597273,0.0870358,0.36085296,-0.19824016,-0.00021774907,0.0054791397,0.0,0.03893056,-0.027404452,-0.17848513,-0.16928297,0.010089407,-0.0020911242,-0.020107456,1.0290897,0.13926332,-2.0363023,0.25396588,-0.062233876,95.45938,0.37697518,0.09998215,0.16549233,0.063945025,0.07740916,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2874902889,2874902169,11504099,39.4804769,-76.6597273,0.09715089,0.35575414,-0.22140129,-0.00021774907,0.0054791397,0.0,0.07302293,-0.050584216,-0.31768423,-0.30792338,0.010089407,-0.0020911242,-0.020107456,-0.028112782,-0.48080856,-2.2686253,0.24417809,-0.062233876,95.45938,0.39665377,0.10080597,0.16549534,0.06551522,0.07740943,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2875003519,2875002597,11504099,39.4804769,-76.6597273,0.1098084,0.34613913,-0.26202866,-0.00021774907,0.0054791397,0.0,0.09041598,-0.10234664,-0.52971715,-0.51979756,0.010089407,-0.0020911242,-0.020107456,-1.7347492,-0.3987829,-2.340545,0.23455232,-0.062233876,95.45938,0.4473887,0.10099576,0.16552657,0.06478054,0.07742906,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2875093594,2875092532,11504099,39.4804769,-76.6597273,0.12144518,0.33397287,-0.3171679,-0.00021774907,0.0054791397,0.0,0.11675422,-0.1408403,-0.7007081,-0.6912777,0.010089407,-0.0020911242,-0.020107456,2.7767742,-3.2983487,-2.9132352,0.2263236,-0.062233876,95.45938,0.49596354,0.1015591,0.16499987,0.06618426,0.07721443,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2875192774,2875191508,11504099,39.4804769,-76.6597273,0.13473517,0.31864962,-0.3938251,-0.00021774907,0.0054791397,0.0,0.125734,-0.1685731,-0.8547198,-0.84588444,0.010089407,-0.0020911242,-0.020107456,0.43520743,-2.944604,-1.3687606,0.21833825,-0.062233876,95.45938,0.56950164,0.101805285,0.16500108,0.06572559,0.07721071,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2875297277,2875296432,11504099,39.4804769,-76.6597273,0.14921762,0.3024667,-0.4883149,-0.00021774907,0.0054791397,0.0,0.11695444,-0.17029777,-0.93835956,-0.9298843,0.010089407,-0.0020911242,-0.020107456,-1.482033,0.9134469,-0.93657976,0.21195365,-0.062233876,95.45938,0.6614909,0.10303025,0.16553023,0.067972265,0.07741921,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2875400919,2875395314,11504099,39.4804769,-76.6597273,0.16320685,0.28929085,-0.5826504,-0.00021774907,0.0054791397,0.0,0.12174473,-0.17486723,-0.95616025,-0.9485435,0.010089407,-0.0020911242,-0.020107456,0.5676318,-2.2365658,2.8474996,0.20660065,-0.062233876,95.45938,0.769808,0.103365794,0.16550235,0.06727028,0.077398,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
2875501014,2875500238,11504099,39.4804769,-76.6597273,0.177755,0.2761434,-0.6860245,-0.00021774907,0.0054791397,0.0,0.10167298,-0.14951351,-1.0138067,-1.0079224,0.010089407,-0.0020911242,-0.020107456,-0.9472415,1.2609953,-0.6090348,0.20281342,-0.062233876,95.45938,0.87989086,0.10440239,0.16553248,0.068843104,0.07741929,inf,inf,inf,inf,1,1,1,1,2,0,2,1,6,0,1,1,1,1
